method,crop_id,probe_id,localization_rmse_px,tangent_mae_deg,bend_nrmse,bend_correlation,total_turn_deg,length_samples
Weighted FBP,1,0,1.490001410718357,14.27974552682742,0.6471553558793247,0.8648902211334737,210.5126334104996,79
Weighted FBP,1,1,1.4087790638651139,16.46851353356825,0.16342059163478956,0.9602622195271883,225.8248175573468,74
Weighted FBP,1,2,1.6857736548543647,13.262495129447773,2.043277593140034,0.8323531022967435,76.95428566982491,36
Weighted FBP,1,3,0.6936221805876578,13.30539390748942,0.33529148984354146,0.8246899103655676,165.0246154077364,53
Weighted FBP,1,4,2.8461762087312104,21.239723337111055,0.46406554665938043,0.8439758454267593,156.37630857387978,41
Weighted FBP,2,0,1.7574669691863016,28.380639536385385,6.153997289581289,0.592670723597685,133.3773859366491,25
Weighted FBP,2,1,1.2927996196332825,17.382014960278138,4.031555833000483,-0.5153927954707629,151.92971403131088,28
Weighted FBP,2,2,1.0184777772418532,11.046173980559157,0.5373175699743674,0.7789637332775994,70.54364912709615,43
Weighted FBP,2,3,1.2590396258371148,9.935380268249558,1.180575136339809,0.6498564428571063,36.75962293353372,14
Weighted FBP,2,4,2.168928930076306,19.93291183505965,1.9384586232060748,-0.6530856426160919,37.752560714054226,14
Weighted FBP,2,5,0.7243805281302791,15.908479628526383,1.154321562553866,0.37768212363197634,59.302680218803985,29
Weighted FBP,3,0,1.3808235468958188,20.089845075096758,1.357910632322172,0.3233199497578542,111.26264075946172,37
Weighted FBP,3,1,1.5268827981272963,22.072713317456063,1.3889699396907431,-0.3893178514925019,88.49917797505499,19
Weighted FBP,3,2,0.7796635205208375,13.39181095669855,0.694043890653035,0.6226457052714733,174.7339783570257,48
Weighted FBP,3,3,2.374152801024413,31.431214164095174,0.9426859835292218,0.5128150027009661,135.26114163238944,29
Weighted FBP,3,4,0.3963180129070443,9.786937973067847,0.9590734280419703,0.0934743829219332,106.25593345566037,31
Weighted FBP,4,0,1.0982894913921237,10.01288020355096,3.075853015319554,0.07888632726465775,36.963508153299514,27
Weighted FBP,4,1,0.5716824988033744,4.558590815167774,0.9099769027072435,0.366247380478905,41.27275644688526,19
Weighted FBP,4,2,1.3047573777796642,23.758517969923602,0.4672806682589007,0.8947761371487228,88.24777366523723,22
Weighted FBP,4,3,0.38929115758318694,8.326600655556163,0.5280380610816962,0.6788971594558465,66.2158414195794,25
Weighted FBP,4,4,0.7126777427351745,11.793362530047162,0.6664850185601879,0.30371822115694097,85.98950801186898,25
Weighted FBP,4,5,0.8774495091906319,15.557327687652515,4.767747826626371,0.4137973093433245,73.90086853414694,23
Weighted FBP,4,6,1.78124798648637,22.46093631292421,0.6562632849445077,0.39514371693118816,193.97633263641143,70
Weighted FBP,4,7,1.9701057526503782,22.796324051538935,5.150122986288805,-0.6387280139731505,56.24072674548559,27
Weighted FBP,4,8,1.31578920845896,14.923339346300239,1.564810523144918,-0.1937061155045902,150.26827167379903,45
Iterative curve-endpoint,1,0,0.8799573997016749,10.92134833539512,0.4803461523769158,0.9807155279124133,210.5126334104996,79
Iterative curve-endpoint,1,1,0.6020363106228495,11.87063037451509,0.10135691709127188,0.983383087615783,225.8248175573468,74
Iterative curve-endpoint,1,2,0.8689229003198518,8.053061902236152,1.1783898696174964,0.6141407419314374,76.95428566982491,36
Iterative curve-endpoint,1,3,0.687093434753342,11.63145551633477,0.6408299777655514,0.8764471970081277,165.0246154077364,53
Iterative curve-endpoint,1,4,1.9854919361788432,23.09847415080227,0.9667558656532075,0.8234169212908062,156.37630857387978,41
Iterative curve-endpoint,2,0,1.1967681088617645,23.453747515268493,1.8886301154758292,-0.27281686362271806,133.3773859366491,25
Iterative curve-endpoint,2,1,1.0990326357806235,17.19872959539703,3.6685907977403436,-0.3748151095676009,151.92971403131088,28
Iterative curve-endpoint,2,2,0.8724606712975026,7.552802493720953,0.3588870930430555,0.8343234010226023,70.54364912709615,43
Iterative curve-endpoint,2,3,0.7610751325178107,9.146099565069926,1.5296977361170117,0.39711925383535573,36.75962293353372,14
Iterative curve-endpoint,2,4,0.3890033358154477,6.843362452003146,0.8570194069029584,0.9748414710404486,37.752560714054226,14
Iterative curve-endpoint,2,5,0.6959034460602961,7.7819634173480825,1.0272448573789963,0.7364178262976009,59.302680218803985,29
Iterative curve-endpoint,3,0,1.3256247855735819,15.50182849795925,1.2470506514238298,0.6521017871270874,111.26264075946172,37
Iterative curve-endpoint,3,1,0.7209287079444385,10.76723202839363,0.7238893294427391,0.9692325926040779,88.49917797505499,19
Iterative curve-endpoint,3,2,0.4407865100804175,6.505882631002919,0.2813591999680387,0.9243787787950739,174.7339783570257,48
Iterative curve-endpoint,3,3,2.4163677769572884,26.63455811363023,0.7945057149067292,0.4380608660658209,135.26114163238944,29
Iterative curve-endpoint,3,4,0.4282736810182482,11.684639144213504,0.9972382205975215,0.6180275929756809,106.25593345566037,31
Iterative curve-endpoint,4,0,0.7469712525750545,9.819879759893086,11.222774166956139,0.18002733986791156,36.963508153299514,27
Iterative curve-endpoint,4,1,0.35594539650211465,8.236632526574423,1.4764547692831678,0.0034657719708210428,41.27275644688526,19
Iterative curve-endpoint,4,2,0.5840112060925318,7.987021198159661,0.22998341603308448,0.9885846457701208,88.24777366523723,22
Iterative curve-endpoint,4,3,0.3438760421369262,7.127532174523713,0.4828561416234765,0.7356526180780798,66.2158414195794,25
Iterative curve-endpoint,4,4,0.33052538545268606,6.033426540033181,0.35043500961234575,0.7498087310260976,85.98950801186898,25
Iterative curve-endpoint,4,5,0.5141039085244,10.877481117819414,1.4101508931879885,0.013604555609502042,73.90086853414694,23
