method,crop_id,psnr_db,ssim,rmse,spill_area_px,spill_skeleton_length_px,clean_endpoint_count,mean_endpoint_overrun_px,mean_endpoint_excess_mass,curved_branch_count,weighted_curve_localization_rmse_px,weighted_tangent_mae_deg,median_bend_correlation
Weighted FBP,1,16.35158988855302,0.44949308098385876,0.15220205126616312,1174,399,0,,,5,1.5409993423203223,15.548530942339324,0.8439758454267593
Weighted FBP,2,18.005163634056053,0.4225359256668979,0.12581772215086173,1594,560,3,7.666666666666667,0.5497248448422324,6,1.2609686477082034,16.671241092386015,0.4851764236148307
Weighted FBP,3,19.691037071479503,0.47818927172293896,0.10362108762986892,1047,431,4,7.75,0.986534374296046,5,1.2113498964292102,18.417152650339265,0.3233199497578542
Weighted FBP,4,17.04343385947823,0.4047263894629303,0.14054917704229497,1630,615,1,15.0,0.5784032573341613,9,1.2510308693696357,16.253648638368304,0.366247380478905
Iterative curve-endpoint,1,21.67392064907689,0.6941604953878902,0.08247151403707188,86,53,0,,,5,0.9299281533544081,12.701865643955719,0.8764471970081277
Iterative curve-endpoint,2,25.07847404970994,0.7338449697702963,0.05572836447699542,2,2,3,0.0,0.08034729239805741,6,0.8790210711216234,12.04057536682972,0.5667685400664784
Iterative curve-endpoint,3,25.359836407725744,0.729608485035893,0.0539520783892322,5,5,4,0.0,0.2350260933168783,5,1.0198455161241096,13.56739895132931,0.6521017871270874
Iterative curve-endpoint,4,22.85837657194955,0.6837986075244549,0.07195834585067616,21,21,1,15.0,0.19508834200364655,9,0.8600928171590158,11.129967414090633,0.6578703312811847
